#,Name,Country,Nick,Points,GP_t1 points,GP_t1 rank. points,GP_t1 position,year,round
1.,Letian Ming,China,Mike,1100,1100,1100,1.,2025,1
2.,Tantan Dai,China,SERENE,1087.8,1087.8,1087.8,2.,2025,1
3.,Hu Yuxuan Hu,China,huyuxuan,993.8,993.8,993.8,3.,2025,1
4.,Kota Morinishi,Japan,Kota,983,983,983,4.,2025,1
5.,Jan Vondruška,Czech Rep.,WTM,962,962,962,5.,2025,1
6.,Yu Tianxiang,China,Yutx_GCS,936,936,936,6.,2025,1
7.,Le Duo Yang,China,Sky Yang,934,934,934,7.,2025,1
8.,Ken Endo,Japan,EKBM,932.5,932.5,932.5,8.,2025,1
9.,Cheran Sun,China,青清晴情,920.2,920.2,920.2,9.,2025,1
10.,Jakub Ondroušek,Czech Rep.,,917.7,917.7,917.7,10.,2025,1
11.,Seungjae Kwak,"Korea, South",Kwaka,903.5,903.5,903.5,11.,2025,1
12.,Tiit Vunk,Estonia,TiiT,860,860,860,12.,2025,1
13.,Suzhe QIU,China,ysbg123,858.7,858.7,858.7,13.,2025,1
14.,Sinchai Rungsangrattanakul,Thailand,sinchai4547,830.3,830.3,830.3,14.,2025,1
15.,Siyuan Luo,China,GGDumplings,823.2,823.2,823.2,15.,2025,1
16.,Bastien Vial-Jaime,France,,817.8,817.8,817.8,16.,2025,1
17.,Hideaki Jo,Japan,,800.2,800.2,800.2,17.,2025,1
18.,YiFan Xie,China,evan_xie,792,792,792,18.,2025,1
19.,Can Erturan,Turkey,Cane_Puzzles,785,785,785,19.,2025,1
20.,Dominik Bezkosty,Poland,,784.3,784.3,784.3,20.,2025,1
#,Name,Country,Nick,Points,Points,Points,#,2025,1
21.,Timothy Doyle,France,Timothy,781.5,781.5,781.5,21.,2025,1
22.,Jordyn Hyde,USA,,761.8,761.8,761.8,22.,2025,1
23.,Weifan Wang,China,qw014052,761.2,761.2,761.2,23.,2025,1
24.,Rintaro Matsumoto,Japan,limt,746.5,746.5,746.5,24.,2025,1
25.,Kishore Sridharan,India,kishy72,744.8,744.8,744.8,25.,2025,1
26.,Đức Chiến Nguyễn,Vietnam,NDChien2000,723,723,723,26.,2025,1
27.,Tawan Sunathvanichkul,Thailand,,713,713,713,27.,2025,1
28.,Takuya Sugimoto,Japan,sugitakukun,712.8,712.8,712.8,28.,2025,1
29.,Chiel Beenhakker Beenhakker,Netherlands,bakpao,709.5,709.5,709.5,29.,2025,1
30.,Nicholas Ling,Australia,DrNick,707.7,707.7,707.7,30.,2025,1
31.,Bram de Laat,Netherlands,Para,701.7,701.7,701.7,31.,2025,1
32.,Akio Tanabe,Japan,akio,698.3,698.3,698.3,32.,2025,1
33.,Jan Mrozowski,Poland,janoslaw,691.5,691.5,691.5,33.,2025,1
34.,Tyler Chen,USA,tchenn,678,678,678,34.,2025,1
35.,心 木,China,木心,677.2,677.2,677.2,35.,2025,1
36.,Luka Bušić,Croatia,Buske,676.5,676.5,676.5,36.,2025,1
37.,Vincent Bertrand,Belgium,,672.7,672.7,672.7,37.,2025,1
38.,Pavel Jaselský,Slovakia,pali7,668.5,668.5,668.5,38.,2025,1
39.,yx c,China,ugly2333,665.7,665.7,665.7,39.,2025,1
40.,David Jones,Canada,WMathie,640.5,640.5,640.5,40.,2025,1
#,Name,Country,Nick,Points,Points,Points,#,2025,1
41.,Harrison Beer,Australia,Harryjbeer,640,640,640,41.,2025,1
42.,Nityant Agarwal,India,Nityant05,635,635,635,42.,2025,1
43.,Penka Koleva,Bulgaria,,630,630,630,43.,2025,1
44.,Eva Schuckert,Austria,,630,630,630,44.,2025,1
45.,Ce Jin,China,jcvb,630,630,630,45.,2025,1
46.,CJ Tan,Philippines,hetan,630,630,630,46.,2025,1
47.,Khả Lê Minh,Vietnam,Lê Minh Khả,613,613,613,47.,2025,1
48.,Mark Goodliffe,UK,magoo,610,610,610,48.,2025,1
49.,Salih Alan,Turkey,bskbri,606,606,606,49.,2025,1
50.,Xingjian Cui,China,,603,603,603,50.,2025,1
