#,Name,Country,Nick,Points,GP_t1 points,GP_t1 rank. points,GP_t1 position,year,round
1.,Letian Ming,China,Mike,1064.7,1064.7,1064.7,1.,2026,1
2.,Tantan Dai,China,SERENE,983.3,983.3,983.3,2.,2026,1
3.,Suzhe QIU,China,ysbg123,922.3,922.3,922.3,3.,2026,1
4.,Cheran Sun,China,青清晴情,918.2,918.2,918.2,4.,2026,1
5.,Hu Yuxuan Hu,China,huyuxuan,909.5,909.5,909.5,5.,2026,1
6.,Prasanna Seshadri,India,prasanna16391,874.3,874.3,874.3,6.,2026,1
7.,Ken Endo,Japan,EKBM,871.3,871.3,871.3,7.,2026,1
8.,Zihang Liu,China,lelele,865.8,865.8,865.8,8.,2026,1
9.,Kota Morinishi,Japan,Kota,863,863,863,9.,2026,1
10.,Vincent Bertrand,Belgium,,837.8,837.8,837.8,10.,2026,1
11.,Tiit Vunk,Estonia,TiiT,826.1,826.1,826.1,11.,2026,1
12.,Jakub Ondroušek,Czech Rep.,,822.7,822.7,822.7,12.,2026,1
13.,Jan Vondruška,Czech Rep.,WTM,812.8,812.8,812.8,13.,2026,1
14.,Seungjae Kwak,"Korea, South",Kwaka,812.3,812.3,812.3,14.,2026,1
15.,Yu Tianxiang,China,Yutx_GCS,780.7,780.7,780.7,15.,2026,1
16.,心 木,China,木心,764.2,764.2,764.2,16.,2026,1
17.,黄明睿 Huang,China,MingruiHuang,763.8,763.8,763.8,17.,2026,1
18.,Sinchai Jaturangkhajit,Thailand,sinchai4547,743.9,743.9,743.9,18.,2026,1
19.,Yanzhe Qiu,China,qyz,741.2,741.2,741.2,19.,2026,1
20.,Don Wu,Taiwan,don3232,734.9,734.9,734.9,20.,2026,1
#,Name,Country,Nick,Points,Points,Points,#,2026,1
21.,Martin Merker,Germany,MaM,729.7,729.7,729.7,21.,2026,1
22.,Lucy Epstein,USA,,726.3,726.3,726.3,22.,2026,1
23.,Đức Chiến Nguyễn,Vietnam,NDChien2000,720,720,720,23.,2026,1
24.,Takuya Sugimoto,Japan,sugitakukun,667.8,667.8,667.8,24.,2026,1
25.,Jordyn Hyde,USA,,665,665,665,25.,2026,1
26.,Khả Lê Minh,Vietnam,Lê Minh Khả,663,663,663,26.,2026,1
27.,Patrick Kanz,Germany,Alfred Noobel,663,663,663,27.,2026,1
28.,Dominik Bezkosty,Poland,,661,661,661,28.,2026,1
29.,Zbigniew Zarzycki,Poland,antyp,629,629,629,29.,2026,1
30.,Candice Solidarios,Philippines,,629,629,629,30.,2026,1
31.,Chiel Beenhakker,Netherlands,bakpao,629,629,629,31.,2026,1
32.,Tina Bratim,Croatia,Tinica,629,629,629,32.,2026,1
33.,Jelena Balanova,Latvia,,629,629,629,33.,2026,1
34.,Nora Borst,USA,,611,611,611,34.,2026,1
35.,Matteo Fedeli,Italy,Yoshi Baroshi,608,608,608,35.,2026,1
36.,徐晨皓 samuelxu,China,嘉和逆天,607,607,607,36.,2026,1
