#,Name,Country,Nick,Points,GP_t3 points,GP_t3 rank. points,GP_t3 position,year,round
1.,Le Duo Yang,China,Sky Yang,980.8,980.8,980.8,1.,2025,3
2.,Kota Morinishi,Japan,Kota,947.5,947.5,947.5,2.,2025,3
3.,Tantan Dai,China,SERENE,905.5,905.5,905.5,3.,2025,3
4.,Hu Yuxuan Hu,China,huyuxuan,900,900,900,4.,2025,3
5.,Seungjae Kwak,"Korea, South",Kwaka,873.3,873.3,873.3,5.,2025,3
6.,Cheran Sun,China,青清晴情,848.5,848.5,848.5,6.,2025,3
7.,Takuya Sugimoto,Japan,sugitakukun,846.2,846.2,846.2,7.,2025,3
8.,Jakub Ondroušek,Czech Rep.,,843.2,843.2,843.2,8.,2025,3
9.,Prasanna Seshadri,India,prasanna16391,842.2,842.2,842.2,9.,2025,3
10.,Rintaro Matsumoto,Japan,limt,834,834,834,10.,2025,3
11.,Letian Ming,China,Mike,819.5,819.5,819.5,11.,2025,3
12.,Suzhe QIU,China,ysbg123,808.8,808.8,808.8,12.,2025,3
13.,Jan Mrozowski,Poland,janoslaw,808.7,808.7,808.7,13.,2025,3
14.,Vincent Bertrand,Belgium,,790.7,790.7,790.7,14.,2025,3
15.,Jan Vondruška,Czech Rep.,WTM,734.2,734.2,734.2,15.,2025,3
16.,Ken Endo,Japan,EKBM,732.8,732.8,732.8,16.,2025,3
17.,Can Erturan,Turkey,Cane_Puzzles,717.3,717.3,717.3,17.,2025,3
18.,Sinchai Rungsangrattanakul,Thailand,sinchai4547,716.2,716.2,716.2,18.,2025,3
19.,Siyuan Luo,China,GGDumplings,715.3,715.3,715.3,19.,2025,3
20.,心 木,China,木心,689.2,689.2,689.2,20.,2025,3
#,Name,Country,Nick,Points,Points,Points,#,2025,3
21.,Martin Merker,Germany,MaM,678.7,678.7,678.7,21.,2025,3
22.,Pavel Jaselský,Slovakia,pali7,668.7,668.7,668.7,22.,2025,3
23.,Dominik Bezkosty,Poland,,664.8,664.8,664.8,23.,2025,3
24.,Bastien Vial-Jaime,France,,663.5,663.5,663.5,24.,2025,3
25.,徐晨皓 samuelxu,China,嘉和逆天,649.7,649.7,649.7,25.,2025,3
26.,Hideaki Jo,Japan,,649.2,649.2,649.2,26.,2025,3
27.,Weifan Wang,China,qw014052,642.9,642.9,642.9,27.,2025,3
28.,Ce Jin,China,jcvb,641.8,641.8,641.8,28.,2025,3
29.,Zihang Liu lelele,China,lelele,640.7,640.7,640.7,29.,2025,3
30.,David Jones,Canada,WMathie,640,640,640,30.,2025,3
31.,Kishore Sridharan,India,kishy72,635.5,635.5,635.5,31.,2025,3
32.,Nicholas Ling,Australia,DrNick,632.2,632.2,632.2,32.,2025,3
33.,Christian König,Germany,CJK,627,627,627,33.,2025,3
34.,Xingjian Cui,China,,625.8,625.8,625.8,34.,2025,3
35.,Akio Tanabe,Japan,akio,608.2,608.2,608.2,35.,2025,3
36.,Sumate Juariyamark,Thailand,MrLiang,606.3,606.3,606.3,36.,2025,3
37.,Lucy Epstein,USA,,606.2,606.2,606.2,37.,2025,3
38.,Tawan Sunathvanichkul,Thailand,,600,600,600,38.,2025,3
39.,Salih Alan,Turkey,bskbri,599.5,599.5,599.5,39.,2025,3
40.,Jordyn Hyde,USA,,592.9,592.9,592.9,40.,2025,3
#,Name,Country,Nick,Points,Points,Points,#,2025,3
41.,Hwangrae Lee,"Korea, South",Spica,582,582,582,41.,2025,3
42.,Patrick Kanz,Germany,Alfred Noobel,582,582,582,42.,2025,3
43.,Gyimesi Zoltán,Hungary,Hunsudoku,573,573,573,43.,2025,3
44.,Jan Novotný,Czech Rep.,KrtekHonza,569,569,569,44.,2025,3
45.,Eva Schuckert,Austria,,557,557,557,45.,2025,3
46.,Zhenxin Gao,China,GreatZX,555,555,555,46.,2025,3
47.,Torsten Rogoll,Germany,,555,555,555,47.,2025,3
48.,Đức Chiến Nguyễn,Vietnam,NDChien2000,555,555,555,48.,2025,3
49.,Anna Marzec,Poland,Fertilianum,555,555,555,49.,2025,3
50.,SeongHwa Hong,"Korea, South",,552,552,552,50.,2025,3
51.,Qianzi Li,China,Wise Cat,552,552,552,51.,2025,3
52.,zhonghua Huang,China,yangzhou,549,549,549,52.,2025,3
53.,Naoki Sekiya,Japan,,539,539,539,53.,2025,3
54.,Tomasz Stróżak,Poland,strozo,538,538,538,54.,2025,3
55.,Se Joon Jang,"Korea, South",jonahjang,536,536,536,55.,2025,3
56.,Dennis Keetman,Netherlands,DennisK,536,536,536,56.,2025,3
57.,Tyler Chen,USA,tchenn,533,533,533,57.,2025,3
58.,Tina Bratim,Croatia,Tinica,530,530,530,58.,2025,3
59.,Simarpreet Singh,USA,,529,529,529,59.,2025,3
60.,Timothy Doyle,France,Timothy,525,525,525,60.,2025,3
#,Name,Country,Nick,Points,Points,Points,#,2025,3
61.,Yuki Kajihara,Japan,Shiraoka,517,517,517,61.,2025,3
62.,cheng hao zhang,China,浩之呈,511,511,511,62.,2025,3
