#,Name,Country,Nick,Points,GP_t3 points,GP_t3 rank. points,GP_t3 position,year,round
1.,Tantan Dai,China,SERENE,1099.7,1099.7,1099.7,1.,2026,3
2.,Letian Ming,China,Mike,1079.8,1079.8,1079.8,2.,2026,3
3.,Jakub Ondroušek,Czech Rep.,,1077.8,1077.8,1077.8,3.,2026,3
4.,Suzhe QIU,China,ysbg123,1030,1030,1030,4.,2026,3
5.,Zihang Liu,China,lelele,968,968,968,5.,2026,3
6.,Kota Morinishi,Japan,Kota,964.8,964.8,964.8,6.,2026,3
7.,Tiit Vunk,Estonia,TiiT,960.5,960.5,960.5,7.,2026,3
8.,Hu Yuxuan Hu,China,huyuxuan,932.8,932.8,932.8,8.,2026,3
9.,Cheran Sun,China,青清晴情,913.3,913.3,913.3,9.,2026,3
10.,Rintaro Matsumoto,Japan,,909.3,909.3,909.3,10.,2026,3
11.,Ken Endo,Japan,EKBM,893.8,893.8,893.8,11.,2026,3
12.,Siyuan Luo,China,GGDumplings,884.8,884.8,884.8,12.,2026,3
13.,Vincent Bertrand,Belgium,,867.7,867.7,867.7,13.,2026,3
14.,Jan Vondruška,Czech Rep.,WTM,860,860,860,14.,2026,3
15.,Prasanna Seshadri,India,prasanna16391,841.5,841.5,841.5,15.,2026,3
16.,黄明睿 Huang,China,MingruiHuang,833.5,833.5,833.5,16.,2026,3
17.,Dominik Bezkosty,Poland,,829.2,829.2,829.2,17.,2026,3
18.,Freddie Hand,UK,Puzzle_Maestro,812.7,812.7,812.7,18.,2026,3
19.,Yu Tianxiang,China,Yutx_GCS,795.3,795.3,795.3,19.,2026,3
20.,Zhenxin Gao,China,GreatZX,789.2,789.2,789.2,20.,2026,3
#,Name,Country,Nick,Points,Points,Points,#,2026,3
21.,Martin Merker,Germany,MaM,785.2,785.2,785.2,21.,2026,3
22.,Seungjae Kwak,"Korea, South",Kwaka,776.3,776.3,776.3,22.,2026,3
23.,Weifan Wang,China,qw014052,763.5,763.5,763.5,23.,2026,3
24.,Lucy Epstein,USA,,742.1,742.1,742.1,24.,2026,3
25.,Kishore Sridharan,India,kishy72,737.3,737.3,737.3,25.,2026,3
26.,Don Wu,Taiwan,don3232,721.9,721.9,721.9,26.,2026,3
27.,Đức Chiến Nguyễn,Vietnam,NDChien2000,719,719,719,27.,2026,3
28.,Hwangrae Lee,"Korea, South",Spica,702,702,702,28.,2026,3
29.,Salih Alan,Turkey,bskbri,698,698,698,29.,2026,3
30.,Tomasz Stróżak,Poland,strozo,695,695,695,30.,2026,3
31.,Tina Bratim,Croatia,Tinica,681,681,681,31.,2026,3
32.,Timothy Doyle,France,Timothy,678,678,678,32.,2026,3
33.,CJ Tan,Philippines,hetan,667,667,667,33.,2026,3
34.,Christian König,Germany,CJK,665,665,665,34.,2026,3
35.,Aubin Danzo,France,,660,660,660,35.,2026,3
36.,Naoki Sekiya,Japan,,657,657,657,36.,2026,3
37.,fliao Fu,China,fourzeroone,656,656,656,37.,2026,3
38.,Anderson Wang,USA,,650,650,650,38.,2026,3
39.,Philippe Meyer,France,FifiR,647,647,647,39.,2026,3
40.,Zimi Li,China,daipa,644,644,644,40.,2026,3
#,Name,Country,Nick,Points,Points,Points,#,2026,3
41.,Pavel Kadlečík,Czech Rep.,kousek-nebe,642,642,642,41.,2026,3
42.,心 木,China,木心,631,631,631,42.,2026,3
43.,Chiel Beenhakker,Netherlands,bakpao,630,630,630,43.,2026,3
44.,James Peter Peter,India,MavericksJD,630,630,630,44.,2026,3
45.,zhonghua Huang,China,yangzhou,630,630,630,45.,2026,3
46.,Jordyn Hyde,USA,,630,630,630,46.,2026,3
47.,Huaiyuan ZHANG,China,Amanda730,630,630,630,47.,2026,3
48.,Hannes Sidorov,Estonia,HannesB0Y,630,630,630,48.,2026,3
49.,David Jones,Canada,WMathie,630,630,630,49.,2026,3
50.,Eva Schuckert,Austria,,621,621,621,50.,2026,3
51.,Xingjian Cui,China,,608,608,608,51.,2026,3
52.,徐晨皓 samuelxu,China,嘉和逆天,608,608,608,52.,2026,3
53.,Kevin Sun,Canada,ksun48,605,605,605,53.,2026,3
54.,Hideaki Jo,Japan,,602,602,602,54.,2026,3
55.,Gyimesi Zoltán,Hungary,Hunsudoku,602,602,602,55.,2026,3
56.,Tyler Chen,USA,tchenn,597,597,597,56.,2026,3
57.,BOY JOY,Albania,,596,596,596,57.,2026,3
58.,Zbigniew Zarzycki,Poland,antyp,595,595,595,58.,2026,3
59.,Nora Borst,USA,,582,582,582,59.,2026,3
60.,Harsh Poddar,India,,577,577,577,60.,2026,3
#,Name,Country,Nick,Points,Points,Points,#,2026,3
61.,Tingyan Qian,China,Leo Qian,574,574,574,61.,2026,3
62.,Jiaqi Qin,China,Noame Qin,574,574,574,62.,2026,3
63.,Ryusuke Nishiyama,Japan,,573,573,573,63.,2026,3
64.,Julien Bonneville,France,goodcity,570,570,570,64.,2026,3
65.,Pavel Kocka,Czech Rep.,hawranomut,565,565,565,65.,2026,3
66.,Calum Mailer,UK,,561,561,561,66.,2026,3
67.,Andrea Pachera,Italy,Manitary,561,561,561,67.,2026,3
