Unofficial,Official,Final,Name,Country,Team,Total,R1,R2,R3,R4,R5,R6,R9,R10,Play-off R1,Play-off R2,Play-off Final
90,67,67,Rick Uppelschoten,NLD,NLD-A,1605,85,340,250,175,165,230,360,0,,,
91,,,Lukasz Kalinowski,POL,POL-B,1585,85,130,215,90,260,110,575,120,,,
92,68,68,Deyan Razsadov,BGR,BGR-A,1545,85,235,280,125,215,225,380,0,,,
93,,,Frédéric Prevot,FRA,FRA-B,1513,83,120,230,125,210,200,385,160,,,
94,69,69,Chiara Nuzio,ITA,ITA-A,1483,73,80,205,115,220,255,395,140,,,
95,,,Christoph Seeliger,DEU,UN-06,1478,68,290,125,140,280,195,380,0,,,
96,,,Swaroop Guggilam,IND,IND-B,1450,85,190,145,190,155,30,475,180,,,
97,70,70,Andrey Bogdanov,RUS,RUS-A,1447,47,235,155,145,245,170,450,0,,,
98,71,71,Paweł Rachel,POL,POL-A,1443,48,275,125,120,170,250,455,0,,,
99,72,72,Stefano Forcolin,ITA,ITA-A,1409,74,135,50,135,185,205,465,160,,,
100,,,Matteo Testa,ITA,ITA-B,1394,84,195,130,225,210,195,315,40,,,
101,73,73,Mario Živković,HRV,HRV-A,1371,76,285,240,90,175,205,300,0,,,
102,,,Diana Škrhová,SVK,SVK-B,1351,86,150,165,50,220,240,300,140,,,
103,74,74,Margit Ool,EST,EST-A,1340,90,295,210,115,190,225,215,0,,,
104,75,75,Mladen Mestrovic,HRV,HRV-A,1330,105,205,130,150,165,165,370,40,,,
105,,,Agnieszka Buczma,POL,POL-B,1329,89,335,195,40,220,185,225,40,,,
106,,,Jaipal Reddy Mogiligundla,IND,IND-B,1326,91,360,125,40,145,145,420,0,,,
107,,,Jayant Ameta,IND,IND-B,1305,85,240,215,190,170,85,320,0,,,
108,,,Jean-Christophe Novelli,FRA,FRA-B,1300,85,250,125,185,205,130,280,40,,,
109,76,76,Vladimir Portugalov,BLR,UN-05,1287,47,160,155,60,210,240,415,0,,,
110,,,Ján Farkaš,SVK,UN-06,1284.5,32,150,155,135,205,215,345,47.5,,,
111,,,Veronika Macku,CZE,CZE-B,1280,85,155,190,105,140,105,330,170,,,
112,77,77,Marko Obradovic,SRB,SRB-A,1261,16,200,215,175,290,30,295,40,,,
113,,,Tomasz Stańczak,POL,POL-B,1240,50,285,190,40,75,70,420,110,,,
114,,,Michael Mosshammer,AUT,UN-10,1232,47,215,265,185,105,105,270,40,,,
115,,,Jaan Laks,EST,UN-10,1209,64,205,140,135,190,140,295,40,,,
116,,,Raoul Kačírek,CZE,UN-04,1182,37,195,80,150,110,185,385,40,,,
117,,,Blanka Lehotská,SVK,SVK-B,1148,73,215,125,135,175,85,240,100,,,
118,,,Valeria Losasso,ITA,ITA-B,1120,85,140,110,145,160,130,190,160,,,
119,78,78,Henning Kalsgaard Poulsen,DNK,UN-09,1104,99,235,130,40,85,120,395,0,,,
120,79,79,Olga Díaz Moruno,ESP,UN-08,1096,86,200,135,40,145,80,310,100,,,
121,80,80,Marko Tanasic,SRB,SRB-A,1094,64,100,40,60,95,120,455,160,,,
122,81,81,Daniela Perlega,AUT,AUT-A,1060,85,195,85,40,175,110,330,40,,,
123,82,82,Gerda Nádor,HUN,HUN-A,1052,82,225,50,90,200,225,180,0,,,
124,83,83,Christof Brütsch,CHE,CHE-A,1049,64,160,195,90,140,110,250,40,,,
125,84,84,Eric Laermans,BEL,UN-03,1040,85,125,165,175,145,125,220,0,,,
126,85,85,Jouni Juhani Särkijärvi,FIN,UN-09,1038,48,150,155,80,120,155,230,100,,,
127,,,Olivier Garçonnet,FRA,FRA-B,1037,47,215,140,60,155,145,165,110,,,
128,86,86,Jerry Weir,CAN,CAN-A,1034,99,205,155,105,185,110,175,0,,,
129,,,Valérie Alexandre,FRA,UN-01,1019,64,165,145,115,140,130,260,0,,,
130,87,87,Ragnar Kruberg,EST,EST-A,1000,105,160,80,100,100,120,295,40,,,
131,88,88,Vasso Kalaitzidou,GRC,GRC-A,997,37,105,145,115,140,70,345,40,,,
132,89,89,Dino Janković,HRV,HRV-A,980,45,145,135,130,50,150,325,0,,,
133,90,90,Kristof Szabo,HUN,HUN-A,979,94,85,90,130,160,120,300,0,,,
134,,,Jarett Prouse,CAN,UN-01,969,64,155,75,165,120,105,285,0,,,
135,,,Pierdante Lanzavecchia,ITA,ITA-B,898,68,20,70,150,0,190,400,0,,,
136,91,91,Philippe Niederkorn,BEL,UN-03,884,64,175,145,20,140,90,250,0,,,
137,92,92,Mehmet Durmuş,TUR,TUR-A,874,49,175,90,90,40,180,250,0,,,
138,,,Paolo Tivano,ITA,ITA-B,862,67,150,40,175,100,80,250,0,,,
139,93,93,Beri Kohen Behar,TUR,TUR-A,859,64,150,65,40,175,125,200,40,,,
140,94,94,Lu Pei,TWN,UN-07,831,31,145,200,110,70,20,215,40,,,
141,,,Rauno Pärnits,EST,UN-10,814,64,170,90,40,40,150,260,0,,,
142,,,Yuk Yee Lee-Au,NLD,UN-02,810,130,160,50,40,40,110,280,0,,,
143,,,Kunal Verma,IND,IND-B,808,68,150,70,65,65,120,270,0,,,
144,,,René Gilhuijs,NLD,UN-02,777,47,120,125,40,95,100,210,40,,,
145,,,Kamer Alyanakyan,TUR,UN-08,769,64,155,90,60,120,145,135,0,,,
146,95,95,Roger Kohler,CHE,CHE-A,752,47,160,125,120,45,30,225,0,,,
147,96,96,Taavi Piller,EST,EST-A,725,95,55,70,40,145,40,280,0,,,
148,97,97,Iliana-Eleytheria Gounalaki,GRC,GRC-A,719,64,130,40,40,90,110,245,0,,,
149,98,98,Markus Roth,CHE,CHE-A,711,31,150,115,115,50,40,210,0,,,
150,,,Ahmet Alan,TUR,UN-08,709,64,90,90,20,90,40,315,0,,,
151,99,99,Olga Shut,BLR,UN-05,706,31,100,90,80,40,110,255,0,,,
152,100,100,Borislav Ilevski,BGR,BGR-A,695,45,145,90,40,40,110,225,0,,,
153,,,Sara Martin,ITA,UN-10,646,41,85,20,100,115,80,205,0,,,
154,,,Natália Chanová,SVK,SVK-B,623,93,160,0,40,20,40,230,40,,,
155,,,Nick Baxter,USA,USA-B,602,47,95,50,40,70,135,165,0,,,
156,101,101,Helen Arnold,AUS,UN-02,599,64,70,40,40,140,125,120,0,,,
157,102,102,Ivan Laptiev,RUS,RUS-A,590,15,60,165,0,95,155,100,0,,,
158,103,103,Antonis Lalatsas,GRC,GRC-A,562,47,55,75,50,140,50,145,0,,,
159,,,Miroslav Ondrejka,SVK,UN-06,542,47,120,90,40,40,40,165,0,,,
160,,,Esther Naef,CHE,UN-04,531,31,15,95,115,65,40,170,0,,,
161,104,104,Aleksei Oleshov,RUS,RUS-A,492,32,105,40,20,20,95,180,0,,,
162,,,Carolyn Duke,CAN,UN-01,475,15,110,105,0,20,70,155,0,,,
163,105,105,Galina Titova,BGR,BGR-A,396,16,35,75,60,0,95,115,0,,,
164,106,106,Lee Min-Suk,KOR,KOR-A,385,15,65,50,0,0,80,175,0,,,
165,,,Alexey Laptiev,RUS,UN-05,355,15,15,115,0,50,70,90,0,,,
166,,,Magda Mestrovic,HRV,UN-05,296,31,55,40,40,20,20,90,0,,,
167,,,Fae Lau,CAN,UN-01,262,47,85,0,0,65,0,65,0,,,
168,107,107,John HC Park,KOR,KOR-A,256,31,15,50,40,40,40,40,0,,,
169,108,108,Diana Paskhina,RUS,RUS-A,187,32,15,0,40,0,0,100,0,,,
170,,,Kim Yu-Jae,KOR,KOR-U18,150,15,40,0,20,75,0,0,0,,,
171,,,Yoo Da-Jin,KOR,KOR-U18,127,32,0,75,0,0,0,20,0,,,
172,109,109,Park Hae-Min,KOR,KOR-A,110,0,50,0,0,0,20,40,0,,,
173,,,Yoo Jin-Kyo,KOR,KOR-U18,55,0,0,0,0,0,0,55,0,,,
174,,,Park Hae-Kang,KOR,KOR-U18,36,16,0,0,0,20,0,0,0,,,
175,,,Celeste Zucker,USA,CEL-Z,20,0,20,0,0,0,0,0,0,,,
