All,Official Rank,Name,Country or Region,Team,Official,Age,New-comer,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11
64,,Soji Kubota,JPN,UN-2,N,,Y,1344,125,50,100,210,170,34,185,70,400
65,48,Adam Bissett,GBR,GBR-A,Y,,N,1340,45,65,120,200,115,150,220,75,350
66,49,Ashish Kumar Ashok Kumar,IND,IND-A,Y,,N,1335,170,50,180,195,80,0,165,85,410
67,50,Wei-Hwa Huang,USA,USA-A,Y,,N,1319,145,70,185,110,80,84,150,90,405
68,,Maxim Li,USA,USA-B,N,,Y,1315,140,60,115,175,105,155,185,105,275
69,51,Anna-Brigita Topkin,EST,EST-A,Y,,N,1304,230,105,115,155,50,34,120,150,345
70,,Fu Shiyao,CHN,UN-8,N,,Y,1292,170,70,85,165,185,12,220,120,265
71,52,Pitchaya Apichetyota,THA,THA-A,Y,,Y,1289,170,90,55,100,150,24,170,125,405
72,53,Mark Sweep,NED,NED-A,Y,,N,1265,90,55,135,145,170,155,170,70,275
73,54,Svetlozar Stefanov,BUL,BUL-A,Y,O50,N,1259,155,100,140,0,165,14,220,115,350
74,,Jeffrey Huang,USA,USA-B,N,,Y,1220,175,60,55,215,80,0,165,135,335
75,55,György Herke,HUN,HUN-A,Y,,N,1208,85,80,125,165,140,8,155,115,335
76,56,Li Kuo An,TPE,UN-9,Y,,N,1201,170,100,165,180,50,16,175,90,255
77,57,Claudine Thiry,LUX,UN-4,Y,O50,N,1180,135,80,85,135,75,30,175,140,325
78,,Jaipal Reddy Mogiligundla,IND,UN-6,N,O50,N,1168,200,40,50,140,110,8,125,125,370
79,58,Frederick Gutierrez Jr.,PHI,PHI-A,Y,,Y,1158,150,85,105,75,70,8,175,75,415
80,59,Aubin Danzo,FRA,FRA-A,Y,,N,1112,145,65,90,125,50,32,165,65,375
81,,Rick Uppelschoten,NED,NED-B,N,,N,1107,165,70,120,110,80,102,125,70,265
82,60,"Zentgraf, Jörg",GER,GER-A,Y,,N,1068,150,70,110,195,75,28,115,100,225
83,61,Olga Diaz Moruno,ESP,UN-7,Y,O50,N,1050,120,75,110,100,125,0,115,110,295
84,,Diana Grigoreva,RUS,UN-1,N,,Y,1043,175,55,75,75,135,8,120,85,315
85,62,Özgün Onur Özdemir,TUR,TUR-A,Y,U18,N,1041,160,50,140,120,105,26,30,95,315
86,63,Calum Mailer,GBR,GBR-A,Y,,Y,1035,80,85,40,165,0,0,220,70,375
87,64,Svilen Dyakovski,BUL,BUL-A,Y,O50,N,1030,110,70,50,140,90,0,75,110,385
88,,Jotaro Miyamoto,JPN,UN-2,N,,Y,1012,80,60,55,150,80,42,165,45,335
89,65,Sakulbuth Ekvittayaniphon,THA,THA-A,Y,,N,998,125,60,0,75,90,58,220,70,300
90,,"Rudolph, Larissa",GER,GER-B,N,,N,989,125,50,115,50,105,24,85,45,390
91,66,Candice Renee Beatrice Solidarios,PHI,PHI-A,Y,,Y,980,170,110,55,140,40,0,135,95,235
92,,Reinier Schmiermann,NED,NED-B,N,,Y,975,95,40,50,110,105,170,70,30,305
93,,"Terveer, Sara Karina",GER,GER-B,N,,Y,973,50,45,110,125,60,8,165,60,350
94,,Anecha Aunbun,THA,UN-3,N,U18,Y,973,50,80,85,125,60,8,175,90,300
95,67,Fatih Kamer Anda,TUR,TUR-A,Y,,N,970,180,55,125,0,80,0,130,95,305
96,68,Tauri Purk,EST,EST-A,Y,,N,950,140,85,85,50,30,0,165,150,245
97,69,Radoslav Bochev,BUL,BUL-A,Y,O50,N,913,160,40,110,125,105,8,70,40,255
98,70,Roger Peter Kohler,SUI,SUI-A,Y,,N,905,120,30,125,110,115,0,55,85,265
99,,Olga Shut,BLR,UN-1,N,,N,898,160,40,115,245,60,8,50,20,200
100,71,Deyan Razsadov,BUL,BUL-A,Y,O50,N,890,95,50,90,135,30,0,95,65,330
101,,Yunus Emre Büyükkale,TUR,TUR-B,N,,N,881,140,35,90,145,80,26,85,30,250
102,,"Plassmann, Volker Conrad",GER,GER-B,N,,Y,877,50,45,75,160,105,22,135,25,260
103,72,Kristi Lehto,EST,EST-A,Y,,N,876,140,35,50,105,120,6,95,45,280
104,,Cheng Hao,CHN,,N,U18,Y,875,75,80,85,60,120,0,115,120,220
105,73,Gianluca Mancuso,ITA,ITA-A,Y,O50,Y,865,90,40,30,50,85,0,120,105,345
106,,Tana Wattanawaroon,THA,UN-3,N,,Y,860,35,60,85,160,125,30,115,70,180
107,,Jin Sungwon,KOR,,N,U18,Y,830,90,75,85,90,135,0,115,55,185
108,74,Henning Kalsgaard Poulsen,DEN,UN-7,Y,O50,N,781,5,40,105,0,120,26,30,90,365
109,75,Andrzej Dalach,POL,UN-4,Y,,N,777,50,55,90,150,30,12,70,100,220
110,,Nathalie Catinot,FRA,FRA-B,N,O50,N,713,85,60,60,0,105,8,70,90,235
111,,"Bauernschmitt, Katharina",GER,GER-B,N,,N,710,115,40,30,65,30,0,170,40,220
112,76,Jerry Weir,CAN,CAN-A,Y,O50,N,690,50,60,85,40,85,0,70,110,190
113,,Tang Yucheng,CHN,UN-9,N,,Y,666,50,60,85,0,30,26,115,65,235
114,,Olivier Lignon,FRA,FRA-B,N,O50,N,657,30,40,110,60,50,2,70,25,270
115,,Erik Amor,EST,EST-B,N,,Y,647,125,40,60,0,0,22,115,20,265
116,,Yao Guangxu,CHN,UN-10,N,,Y,621,135,40,55,0,60,26,120,20,165
117,,Félix Meyer,FRA,FRA-B,N,,Y,620,75,35,0,80,50,0,105,55,220
118,77,Martin Fundarek,SVK,SVK-A,Y,O50,N,616,45,75,0,0,90,6,95,85,220
119,,Kartal Nagy,HUN,UN-5,N,,Y,615,75,35,0,125,0,0,100,40,240
120,78,Christof Bruetsch,SUI,SUI-A,Y,,N,615,90,50,105,65,0,0,75,25,205
121,,Desiree Regine Go,PHI,UN-2,N,,Y,605,40,70,75,50,0,0,50,50,270
122,79,ALBERTO FILIPPINI,ITA,ITA-A,Y,O50,N,590,90,20,50,40,40,0,85,70,195
123,,Joffrey Duc,FRA,UN-7,N,,N,581,125,40,0,80,35,46,95,45,115
124,,Richard Stolk,NED,NED-B,N,O50,Y,579,115,20,85,0,0,4,50,45,260
125,,Randy Rogers,USA,USA-B,N,O50,Y,575,70,0,55,80,70,0,70,45,185
126,,Richard Luhtaru,EST,EST-B,N,,Y,575,115,40,55,40,30,0,115,40,140
127,,Kei Ota,JPN,UN-5,N,,Y,565,0,25,55,75,50,0,120,50,190
128,80,Helen Arnold,AUS,UN-6,Y,,N,545,95,35,25,120,30,0,45,20,175
129,81,Markus Roth,SUI,SUI-A,Y,O50,Y,508,45,25,25,125,80,8,75,0,125
130,,Ivan Laptiev,RUS,UN-1,N,O50,N,490,50,25,75,50,80,0,0,20,190
131,,Li Jiahui,CHN,UN-10,N,,Y,480,35,40,50,0,0,0,115,65,175
