Rank,Country,First Name,Last Name,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 10,Round 11,Round 12,Points
158,Greece,Iliana - Eleftheria,Gounalaki,GRE-A,60,10,45,0,25,25,60,105,40,30,400
160,Croatia,ANTONIO,ŠIMUNDŽA,HRV-A,30,20,50,30,0,25,50,105,40,30,380
160,Finland,Jouni,Särkijärvi,FIN-A,60,30,40,0,0,15,40,105,60,30,380
160,Germany,Danielle,Hoja,DEU-D,30,10,45,50,0,40,10,95,70,30,380
163,Czechia,Zdeňka,Pácalová,CZE-C,30,35,40,40,0,95,0,35,65,30,370
164,Hungary,Gerda,Nádor,UN-12,90,40,65,0,25,70,40,25,0,10,365
164,Turkey,Emir Batu,Başıbüyük,TUR-B,60,35,45,0,0,50,50,85,20,20,365
166,Netherlands,Saskia,Benedictus,NLD-B,30,90,40,0,0,25,0,60,60,40,345
167,Turkey,Yunus Emre,Büyükkale,TUR-A,60,0,0,60,0,15,10,60,85,30,320
168,South Korea,Geonwoo,Yoon,UN-10,0,0,25,90,25,60,30,35,40,10,315
168,USA,Rebecca,Chang,USA-A,60,10,10,40,25,40,10,60,40,20,315
170,France,Christian,Romon,UN-13,30,0,40,0,0,40,0,75,115,10,310
171,Greece,Maria,Angeloudi,UN-4,60,30,50,40,0,15,30,50,20,10,305
172,Switzerland,Reto,Schlapfer,CHE-A,120,30,35,0,0,15,40,0,20,40,300
173,Turkey,Arhan,Alp,UN-11,60,35,65,30,0,0,30,0,65,10,295
174,Croatia,DAMIR,VRATKOVIĆ,HRV-B,60,15,55,0,0,15,0,35,70,20,270
175,Croatia,SINIŠA,HRGA,HRV-B,60,0,15,40,25,25,0,75,0,10,250
175,South Korea,John HC,Park,UN-10,30,15,15,0,0,40,0,45,95,10,250
177,Germany,Finja,Eiken,DEU-D,60,10,10,0,0,0,10,75,40,20,225
178,Slovenia,Aleš,Založnik,UN-13,60,10,0,0,0,0,30,55,45,20,220
179,Estonia,Aet,Abramson,EST-B,60,0,0,40,0,55,0,0,40,20,215
179,Estonia,Virgi,Puusepp,EST-C,30,25,50,0,0,0,0,60,40,10,215
181,UK,Liane,Robinson,UN-2,0,30,15,0,0,25,10,55,60,10,205
182,Croatia,STJEPAN,VARAŽDINAC,HRV-B,60,25,0,0,0,30,40,0,20,10,185
183,Estonia,Kaja,Sõstra,EST-C,0,20,25,0,0,0,0,50,70,10,175
183,Turkey,Sena,Başaran,TUR-B,0,10,20,0,0,0,10,75,60,0,175
185,Belarus,Kseniya,Bernat,UN-7,0,10,25,40,0,15,0,50,20,0,160
186,Canada,Godfrey,Cheng,UN-6,60,20,40,0,0,15,0,0,0,0,135
187,Turkey,Ömer Tuna,Barutçu,TUR-B,30,0,0,0,0,30,10,25,20,10,125
188,South Korea,Siu,Park,UN-10,0,0,0,0,0,0,50,0,50,0,100
189,Croatia,STIPE,BRATIM,HRV-A,0,0,35,0,0,15,0,10,20,10,90
190,Azerbaijin,Nariman,Fataliyev,UN-10,60,0,0,0,0,15,0,0,0,0,75
191,China,George,Wang,UN-13,60,0,0,0,0,0,0,0,0,0,60
