index,name,country,oﬃcial,under18,over50,newcommer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,total
233.,Kim Hyunggeon,,,33,,51,40,25,170,,15,,,45,20,10,325
234.,Oh Junghoon,,,34,,52,,55,125,55,,,,15,20,55,325
235.,Kim Sein,,,35,,,20,25,80,55,35,,,60,20,10,305
236.,Hauser Marco,,108,,,53,40,30,85,15,45,,,15,55,,285
237.,Apostolidis Christos,,,,33,,,,50,,15,65,,15,20,115,280
238.,Choi Seungjae,,,36,,54,20,30,20,15,50,,80,,55,,270
239.,Vaska Liga,,109,,,55,40,,55,15,20,,,15,20,40,205
240.,Yoon Jiyong,,,37,,56,30,25,55,,,55,,15,,10,190
241.,Park Seonyu,,,38,,57,20,25,20,55,15,,,45,,,180
242.,Oh Junghyun,,,39,,58,20,45,20,,,,,,20,30,135
243.,Lee Hansae,,,40,,59,20,,20,15,35,,,15,20,,125
244.,Titov Anton,,,,,,20,,20,15,15,,,15,35,,120
245.,Bratim Tina,,110,41,,60,,20,50,,15,,,,20,,105
246.,O’Donnell Alan,,,,,,40,25,,,,,,,,,65
247.,Walkover Asher,,,,,,,,,,,,,50,,,50
