Rank,Off. rank,Play-off,Name,Country,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 8,Round 9,Total
73,56,,Błażej Szmatiuk,Poland,POL-A,165,200,185,240,330,125,255,145,1645
74,57,,Péter Szentkúti,Hungary,HUN-A,195,255,250,68,400,190,225,50,1633
75,---,,Jean-Christophe Novelli,France,FRA-B,120,210,230,200,310,145,310,105,1630
76,58,,Claudine Thiry,Luxembourg,UN-08,130,180,290,245,300,200,125,115,1585
77,59,,Laura Tarchetti,Italy,ITA-A,165,185,205,44,275,250,335,105,1564
78,60,,Zoran Tanasic,Serbia,SRB-A,120,200,220,140,280,220,220,145,1545
79,---,,Jana Hanzelková,Czech Republic,CZE-C,120,160,275,122,320,220,325,0,1542
80,---,,Akira Nakai,Japan,JPN-B,185,230,255,210,335,115,205,0,1535
81,61,,Svetlozar Stefanov,Bulgaria,BUL-A,195,305,160,112,260,100,270,125,1527
82,---,,Philipp Weiß,Germany,GER-B,85,145,255,225,250,235,265,50,1510
83,---,,Jaipal Reddy Mogiligundla,India,UN-07,130,160,280,0,400,210,260,69,1509
84,62,,Gabriel Gan Rong De,Singapore,UN-05,285,245,165,56,290,95,305,50,1491
85,63,,Frédérique Rogeaux,France,FRA-A,170,235,185,0,285,210,260,145,1490
86,---,,Nicole Schädel,Germany,GER-B,135,205,270,108,265,145,220,110,1458
87,---,,Thomas Zimmermann,Germany,GER-B,165,295,110,152,265,120,220,125,1452
88,---,,Stefano Forcolin,Italy,ITA-B,115,215,180,200,275,110,235,120,1450
89,---,,Robert Vollmert,Germany,UN-01,135,220,190,0,365,215,175,145,1445
90,---,,Chiara Nuzio,Italy,ITA-B,85,245,205,130,365,180,115,105,1430
91,64,,Vesna Jovanović,Serbia,SRB-A,70,185,180,205,275,150,255,100,1420
92,---,,Robert Babilon,Czech Republic,CZE-B,135,215,265,0,330,140,175,120,1380
93,---,,Diana Škrhová,Slovakia,SVK-B,125,60,165,158,330,190,235,115,1378
94,---,,Agnieszka Buczma,Poland,POL-B,150,235,140,0,410,205,180,50,1370
