Rank,Official Rank,U18/O50,NEW,Name,Team,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11,R12
169,86,,,Tünde Tőri,HUN-A,1106,100,80,99,85,150,21,413,25,88,45
170,87,O50,,Henning Kalsgaard Poulsen,UN-11,1076,100,45,80,122,90,70,277,50,12,230
171,,O50,,Miroslav Šalaga,SVK-C,1073,80,20,80,85,150,45,247,75,31,260
172,,,,Michaela Bernátová,UN-6,1064,80,35,105,130,75,35,410,25,9,160
173,,,,Erik Amor,EST-B,1063,100,30,95,75,25,45,410,50,83,150
174,,O50,NEW,Karin Schauer,UN-1,1054,100,85,80,110,150,105,260,15,44,105
175,,O50,,Nathalie Catinot,FRA-B,1048,88,75,117,75,30,27,410,50,21,155
175,,,NEW,Nicholas Allendorf,USA-E,1048,100,65,110,30,195,70,105,115,63,195
177,,,,Silke Berendes,UN-1,1040,80,40,120,110,140,80,171,25,34,240
178,88,,,Helena Kelava,CRO-A,1039,100,55,40,130,45,105,289,50,145,80
179,89,O50,,Ulla Elsilä,FIN-A,1027,80,65,60,110,125,80,280,25,17,185
180,90,,,Valeria Losasso,ITA-A,1009,80,44,170,85,75,115,178,15,27,220
181,,,,Zsolt Kiss,HUN-B,1003,0,44,50,75,0,35,580,80,49,90
182,,,,François Blécon,FRA-D,999,100,40,120,130,30,35,124,130,120,170
183,,O50,,Martin Fundárek,SVK-B,992,0,60,40,75,75,70,450,100,17,105
184,,,NEW,Tomasz Stachurski,POL-C,981,100,30,115,85,180,80,74,60,72,185
185,91,O50,,Jeannette Fries,SUI-A,974,100,35,95,55,150,80,173,75,21,190
186,,,NEW,Sergei Lebedev,EST-B,957,80,50,80,110,0,70,270,80,77,140
187,,,,Natalie Grabowsky,UN-1,946,50,50,72,130,60,105,205,100,15,159
188,,O50,,Veronika Lengauer,GER-D,939,80,19,40,130,150,70,162,75,28,185
189,,,,Volker Plassmann,GER-C,935,80,35,105,110,150,105,75,30,70,175
190,92,,NEW,Leonidas Giannouzakos,UN-10,933,100,44,80,110,75,35,171,75,38,205
191,93,,,Matteo Testa,ITA-A,918,0,50,82,95,150,0,169,155,52,165
192,94,O50,NEW,Martin Berger,SUI-A,901,0,40,90,110,75,45,331,105,10,95
193,95,,,Carolyn Duke,CAN-A,882,50,20,45,87,150,0,373,50,12,95
194,,,,Duc Joffrey,FRA-E,865,68,20,36,71,125,140,90,0,123,192
195,,,,Janka Szemerey,HUN-C,849,35,21,72,104,0,70,253,50,109,135
196,,,,Tigran Wadia,UN-9,845,60,19,70,85,150,56,184,25,52,144
197,,,,Efe Alan,TUR-B,839,80,10,115,115,25,105,56,80,153,100
198,,,,Ede Markos,HUN-B,817,80,25,80,130,45,105,197,25,25,105
199,,U18,NEW,Ana Markoljević,CRO-B,814,0,44,60,75,30,70,421,0,79,35
199,,,,Tamás Schönborn,HUN-C,814,0,40,40,0,100,35,400,25,39,135
201,96,,,Dávid Karsai,HUN-A,812,100,50,65,110,165,0,75,100,37,110
201,,,,Anna Fundárková,UN-6,812,0,25,70,130,54,21,375,60,2,75
203,,,,Ivan Laptiev,UN-8,794,50,15,82,65,159,0,199,75,24,125
204,97,O50,,István Prezensky,UN-7,793,0,20,100,50,0,70,400,25,113,15
205,98,,,Jerry Weir,CAN-A,779,0,60,135,55,165,105,61,85,53,60
206,,U18,NEW,David Blekić,CRO-B,754,50,10,40,92,75,105,172,25,0,185
207,,,,Gabriela Jaselská,SVK-C,737,80,55,40,100,15,115,116,50,41,125
207,,,,Peter Hornák,SVK-C,737,0,55,74,75,30,35,211,80,22,155
209,,O50,,Christian Romon,FRA-E,723,50,45,40,95,115,80,171,25,27,75
210,,,NEW,Monika Stracenski,CRO-C,714,80,30,40,30,15,70,247,15,56,131
211,,U18,NEW,Sahith Malepati,UN-1,713,80,50,40,95,30,35,143,80,68,92
212,,,,Juha Korvenaho,UN-11,712,0,35,60,130,50,0,230,70,47,90
213,99,,,Mahbubul Hasan,UN-5,708,50,25,62,130,25,35,244,0,27,110
214,,,,Christof Bruetsch,UN-5,682,80,25,80,85,15,35,140,50,32,140
215,,,,Sara Martin,UN-2,666,68,40,58,95,30,35,95,90,65,90
216,,U18,,Nehir Boz,TUR-B,640,0,35,57,30,15,35,369,50,20,29
217,,O50,,Raoul Kačírek,CZE-C,637,0,60,105,30,25,0,112,120,110,75
218,,O50,,Stjepan Varaždinac,CRO-D,632,80,20,40,57,0,0,101,48,151,135
219,,,,Katharina Bauernschmitt,GER-D,610,80,35,80,130,50,35,80,65,25,30
220,,U18,NEW,Iva Vrđuka,CRO-C,605,0,35,40,30,75,35,198,25,12,155
221,,O50,,Randy Rogers,USA-D,600,0,20,75,92,90,35,197,0,21,70
222,,,,Attila Szemán,HUN-D,599,80,16,40,96,15,45,190,0,57,60
223,100,O50,,Jouni Särkijärvi,FIN-A,589,30,45,40,65,0,0,295,0,4,110
224,,,,Brigitta Dengel,HUN-C,588,80,20,60,0,25,45,139,25,80,114
225,101,O50,,Markku Lahti,FIN-A,579,50,20,87,85,90,0,86,50,21,90
226,,,,Róbert Steiner,HUN-D,576,50,20,40,65,165,35,40,25,36,100
227,,,NEW,Brian Shilling,USA-C,539,80,15,50,80,0,70,120,15,29,80
228,102,,NEW,Uldis Kleinbergs,LAT-A,533,0,19,105,75,50,35,93,25,16,115
229,,O50,NEW,Béatrice Pigé,FRA-E,514,0,30,50,85,0,45,131,0,83,90
230,103,,,Helen Arnold,UN-2,506,80,10,70,85,50,45,85,0,18,63
231,,,,Virgi Puusepp,EST-C,500,0,36,40,92,30,0,224,55,23,0
232,,,,Levente Szemerédi,HUN-D,483,80,10,20,51,0,0,123,25,99,75
233,,O50,,Siniša Hrga,CRO-D,475,80,35,72,57,0,35,24,40,27,105
233,,,,Reto Schlapfer,UN-5,475,0,45,44,0,30,70,148,25,3,110
235,104,,NEW,Raivis Miķelsons,LAT-A,450,50,21,80,65,45,35,47,0,14,93
