Official Rank,Overall Rank,Name,Country,Team,R01,R02,R03,R04,R05,R06,R07,R11,R12,R13,R14,R15,R16,TOTAL
100,191,MD YAMIN ISLAM,Bangladesh,BAN - A,75,95,0,0,35,25,0,0,30,0,25,35,25,345
,192,Kim Seungrok,Korea,KOR - G,0,75,0,30,0,30,30,0,55,35,25,63,0,343
101,193,Anthony (Tony) Brightling,Australia,UN - 6,50,55,0,30,65,25,0,20,30,0,25,28,8,336
,194,Kim Sein,Korea,KOR - F,30,50,0,20,20,35,0,20,85,0,30,28,0,318
,195,Jordan David Hamel,New Zealand,UN - 7,15,25,0,40,0,30,30,0,30,0,50,35,55,310
,196,Lee Jungjun,Korea,KOR - G,20,75,0,0,0,55,30,0,30,0,0,28,0,238
,197,Kim Misu,Korea,KOR - C,15,25,0,0,20,0,0,0,85,0,25,42,0,212
,198,Walker Anderson,USA,UN - 9,0,0,0,0,0,0,0,0,0,0,0,98,92,190
102,199,Omid Ostadnorouzi,Iran,UN - 8,0,25,0,0,0,0,30,0,105,0,0,14,10,184
102,199,Samuel Jacob Shillson,New Zealand,NZL - A,0,50,0,0,0,0,0,0,85,0,0,49,0,184
,201,Lee Jihye,Korea,UN - 8,15,25,0,0,0,35,0,0,30,0,0,49,16,170
104,202,Henry Kenneth Taylor,New Zealand,NZL - A,0,30,0,10,0,0,0,0,70,0,0,28,11,149
,203,Palmer Mebane,USA,USA-B,0,0,0,0,0,0,95,0,0,0,0,0,0,95
,204,Hyun Eunsoo,Korea,KOR - G,0,0,0,0,0,0,0,20,55,0,0,14,0,89
105,205,Simon Alex O'Donnell,New Zealand,NZL - A,0,0,0,10,0,30,0,0,30,0,0,7,0,77
,206,Lee Eunhee,Korea,KOR - C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,206,Finbarr Pierre Noble,New Zealand,UN - 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
