Rank,Unofficial,Country,Name,Team,Age,Newcomer,Sum,R1,R2,R3,R4,R5,R6,R7
,74,Poland,Andrzej Dalach,POL-C,,,960,120,160,190,200,80,135,75
58,75,Croatia,Lovro Derek,CRO-B,U18,,950,50,205,240,180,125,75,75
59,76,Bulgaria,Deyan Razsadov,BUL-A,O50,,950,145,90,285,180,140,110,0
,77,Hungary,Tunde Tori,HUN-C,,,940,160,95,170,230,155,55,75
60,78,Hungargy,David Braun,HUN-B,,,935,50,135,255,230,145,120,0
61,79,UN,Olga Shut,UN4,,,925,50,90,270,190,155,95,75
62,80,Bulgaria,Svetlozar Stefanov,BUL-A,O50,,905,85,165,290,210,80,0,75
63,81,Switzerland,Sascha Schultz,SUI-A,,,905,175,105,80,190,160,120,75
64,82,Ukraine,Serhii Tyshchenko,UN3,,New,885,85,140,160,170,150,105,75
,83,Netherlands,Kay Mennens,NED-D,,,865,70,95,130,180,230,160,0
,84,Turkiye,Deren Caglayan,TUR-B,,,860,165,85,230,120,155,105,0
65,85,Estonia,Tauri Purk,EST-B,,,855,50,215,210,165,145,70,0
66,86,Poland,Agnieszka Buczma,POL-B,,,855,120,70,195,180,105,185,0
,87,Croatia,Helena Kelava,CRO-D,,,840,50,100,115,205,180,190,0
,88,Czechia,Zdenka Pacalova,CZE-C,O50,,835,70,110,170,165,125,120,75
67,89,Italy,Matteo Testa,ITA-B,,,835,50,90,255,200,80,160,0
,90,Slovakia,Michaela Bernatova,SVK-C,,,820,160,120,90,190,155,105,0
,91,Turkiye,Efe Alan,UN6,,,800,70,90,245,185,90,120,0
68,92,Romania,Ruben Gafencu,UN6,,,790,50,110,135,170,140,185,0
,93,Estonia,Kristi Lehto,UN6,,,785,50,115,200,175,50,120,75
,94,Czechia,Lucie Klimesova,CZE-D,,,770,50,120,185,200,125,90,0
,95,Czechia,Karel Sterba,CZE-C,,,765,0,180,80,195,245,65,0
69,96,Italy,Valeria Losasso,ITA-B,,,760,0,100,150,160,105,170,75
,97,Italy,Alberto Filippini,ITA-C,O50,,755,85,80,200,105,155,130,0
70,98,Finland,Ulla Elsila,FIN-A,O50,,745,85,125,215,150,105,65,0
71,99,Germany,Natalie Grabowsky,GER-B,,,745,50,160,145,170,105,115,0
72,100,Slovakia,Matej Vyparina,SVK-A,,,745,0,140,140,155,105,130,75
,101,Czechia,Vaclav Jasansky,CZE-C,,New,740,0,110,260,160,80,130,0
73,102,Estonia,Sergei Lebedev,EST-B,,,720,0,155,225,145,80,115,0
74,103,Slovakia,Peter Hornak,SVK-B,,,720,80,135,220,110,55,120,0
75,104,Bulgaria,Radoslav Bochev,BUL-A,O50,,705,90,105,245,80,55,130,0
,105,Netherlands,Elise Philipsen,NED-D,,New,700,70,115,155,150,105,105,0
76,106,Latvia,Roberts Dobelis,LAT-A,,New,670,50,115,150,100,125,130,0
77,107,France,Nathalie Catinot,FRA-A,O50,,665,50,105,155,30,155,170,0
,108,Germany,Isabel Herget,UN5,,New,645,70,110,150,130,105,80,0
,109,Hungary,Janka Szemerey,HUN-C,,,645,0,110,145,110,150,130,0
78,110,Slovakia,Miroslav Salaga,SVK-B,O50,,640,50,95,155,135,135,70,0
,111,Croatia,Iva Vrduka,CRO-C,,,625,90,130,125,70,135,75,0
79,112,Slovakia,Gabriela Jaselska,SVK-B,,,625,0,100,190,125,130,80,0
,113,Slovakia,Martin Fundarek,SVK-C,O50,,625,70,60,140,5,80,120,150
,114,Italy,Sara Martin,ITA-C,,,605,0,190,190,65,85,75,0
,115,Estonia,Brita Kart Vahejaus,EST-C,,New,580,75,85,180,110,55,75,0
80,116,Estonia,Riho Klement,EST-B,,,580,0,120,135,150,100,75,0
,117,Italy,Vittorio Schiavone,ITA-C,,,565,0,90,300,175,0,0,0
81,118,Finland,Maarit Ryynanen,FIN-A,,,555,0,35,170,140,30,105,75
,119,Hungaria,Ede Markos,HUN-D,O50,,550,0,90,160,105,80,40,75
82,120,Latvia,Milana Komisarova,LAT-B,,New,545,70,105,120,170,55,25,0
83,121,Switzerland,Olivia Schmid,SUI-A,,New,525,0,125,170,75,80,75,0
84,122,Netherlands,Daniel de Bruin,NED-B,,New,520,0,30,190,155,80,65,0
,123,Croatia,Ana Markoljevic,CRO-C,U18,,510,50,110,135,115,75,25,0
85,124,Latvia,Jelena Balanova,LAT-B,O50,,480,0,95,120,140,55,70,0
,125,Netherlands,Bram Jonkheer,NED-D,,New,475,90,50,95,80,80,80,0
86,126,Estonia,Lennart Lehto,EST-A,,New,470,50,110,30,125,80,75,0
87,127,France,Christian Romon,FRA-B,O50,,465,70,40,150,125,30,50,0
,128,Slovakia,Matus Pokorny,SVK-C,,New,460,70,110,25,125,55,75,0
,129,Czechia,Michaela Novakova,CZE-D,,New,455,0,105,105,120,100,25,0
88,130,Latvia,Uldis Kleinbergs,LAT-B,,,455,90,70,110,85,50,50,0
,131,Croatia,Sanda Reic Tomas,CRO-D,O50,,455,0,75,155,75,80,70,0
,132,Hungary,Gyorgy Istvan,HUN-D,O50,,435,0,90,85,185,50,25,0
,133,Croatia,Petar Stambuk,CRO-D,O50,,435,85,45,120,80,30,75,0
,134,Slovakia,Dusan Privoznik,SVK-D,O50,New,435,0,85,95,55,80,120,0
89,135,Finland,Juha Korvenaho,FIN-A,,,430,50,30,145,105,50,50,0
,136,Estonia,Kaari Helstein,EST-C,,New,425,0,85,115,145,55,25,0
,137,Czechia,Jan Spalek,CZE-E,,New,415,70,70,65,105,55,50,0
,138,Croatia,Damir Vratkovic,CRO-E,O50,,405,0,70,130,25,100,80,0
,139,Croatia,Ema Bosnic,CRO-C,U18,New,395,0,75,60,80,105,75,0
90,140,France,Morgane Bradaia,FRA-B,,New,395,0,80,95,50,55,115,0
,141,Slovakia,Igor Hudak,SVK-E,,,385,50,60,30,110,55,80,0
,142,Hungary,Levente Szemeredi,HUN-C,,,370,75,70,80,50,55,40,0
,143,Czechia,Petr Matejka,CZE-E,U18,New,325,90,45,70,95,0,25,0
,144,Hungary,Brigitta Dengel,HUN-D,,,315,90,80,30,65,25,25,0
91,145,Latvia,Linards Kruklis,LAT-A,,New,300,0,70,50,130,25,25,0
,146,Slovakia,Lubos Hyzak,SVK-D,O50,,255,50,70,60,25,50,0,0
,147,Slovaka,Maria Simonovicova,SVK-D,O50,New,255,0,65,55,55,55,25,0
92,148,Switzerland,Reto Schlapfer,SUI-A,,New,250,0,65,130,55,0,0,0
,149,Croatia,Luka Pavicic,CRO-E,O50,,210,0,40,70,35,25,40,0
,150,Slovakia,Michal Hudak,SVK-E,,,180,0,40,65,25,25,25,0
,151,Czechia,Miroslav Beinhauer,UN4,O50,New,145,0,60,0,30,30,25,0
,152,Croatia,Mladen Bosnic,,O50,New,115,0,40,40,35,0,0,0
,153,Croatia,Stipe Bratim,CRO-E,,,115,0,60,0,30,0,25,0
,154,Slovakia,Hela Vyparinova,UN4,O50,New,45,0,30,0,15,0,0,0
